         565223 function calls (542918 primitive calls) in 20.704 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.009    0.009   20.705   20.705 c:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\group-f\src\main\AsteroidGame.py:94(runAsteroidGame)
       50    0.001    0.000   12.629    0.253 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\api.py:62(get)
       50    0.001    0.000   12.628    0.253 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\api.py:14(request)
       50    0.002    0.000   12.611    0.252 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\sessions.py:502(request)
       50    0.003    0.000   12.440    0.249 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\sessions.py:673(send)
       25    0.001    0.000   12.388    0.496 c:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\group-f\src\main\WebcamYOLOProcessor.py:78(getBoxPositions)
       50    0.002    0.000   12.043    0.241 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\requests\adapters.py:434(send)
       50    0.002    0.000   11.984    0.240 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\connectionpool.py:595(urlopen)
       50    0.002    0.000   11.971    0.239 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\connectionpool.py:380(_make_request)
      724    0.004    0.000   11.968    0.017 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\socket.py:690(readinto)
      724   11.962    0.017   11.962    0.017 {method 'recv_into' of '_socket.socket' objects}
       50    0.003    0.000   11.716    0.234 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\urllib3\connection.py:435(getresponse)
       50    0.001    0.000   11.699    0.234 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\client.py:1333(getresponse)
       50    0.002    0.000   11.694    0.234 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\client.py:313(begin)
       50    0.001    0.000   11.664    0.233 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\http\client.py:280(_read_status)
      350    0.001    0.000   11.663    0.033 {method 'readline' of '_io.BufferedReader' objects}
       25    0.000    0.000    6.352    0.254 c:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\group-f\src\main\WebcamYOLOProcessor.py:18(get_image)
       25    0.001    0.000    6.061    0.242 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\model.py:204(predict)
       25    0.000    0.000    3.507    0.140 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\predictor.py:192(__call__)
       50    0.001    0.000    3.506    0.070 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\utils\_contextlib.py:24(generator_context)
       50    0.001    0.000    3.502    0.070 {method 'send' of 'generator' objects}
       50    0.004    0.000    3.501    0.070 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\predictor.py:228(stream_inference)
       25    0.000    0.000    2.898    0.116 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\predictor.py:133(inference)
  5400/25    0.012    0.000    2.898    0.116 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\module.py:1514(_wrapped_call_impl)
  5400/25    0.021    0.000    2.898    0.116 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\module.py:1520(_call_impl)
       25    0.000    0.000    2.897    0.116 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\autobackend.py:328(forward)
       25    0.000    0.000    2.896    0.116 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\tasks.py:30(forward)
       25    0.000    0.000    2.896    0.116 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\tasks.py:44(predict)
       25    0.007    0.000    2.896    0.116 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\tasks.py:61(_predict_once)
     1425    0.011    0.000    2.427    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\modules\conv.py:38(forward_fuse)
        1    0.000    0.000    2.376    2.376 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\engine\predictor.py:315(setup_model)
        1    0.000    0.000    1.815    1.815 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\utils\torch_utils.py:65(select_device)
        1    0.000    0.000    1.815    1.815 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\utils\torch_utils.py:55(get_cpu_info)
        1    0.000    0.000    1.803    1.803 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\cpuinfo\cpuinfo.py:2751(get_cpu_info)
        1    0.000    0.000    1.803    1.803 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\cpuinfo\cpuinfo.py:2719(get_cpu_info_json)
        1    0.000    0.000    1.788    1.788 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\subprocess.py:1090(communicate)
     1114    1.788    0.002    1.788    0.002 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    1.787    1.787 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\subprocess.py:1483(_communicate)
        2    0.000    0.000    1.786    0.893 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\threading.py:1028(join)
        2    0.000    0.000    1.786    0.893 C:\Users\aslan\AppData\Local\Programs\Python\Python39\lib\threading.py:1066(_wait_for_tstate_lock)
      123    0.003    0.000    1.685    0.014 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\omnibot\tcp.py:37(_send_and_receive)
      123    1.666    0.014    1.666    0.014 {method 'recv' of '_socket.socket' objects}
     1600    0.007    0.000    1.574    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\conv.py:459(forward)
     1600    0.005    0.000    1.564    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\conv.py:451(_conv_forward)
     1600    1.559    0.001    1.559    0.001 {built-in method torch.conv2d}
      200    0.007    0.000    1.481    0.007 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\modules\block.py:200(forward)
       25    0.001    0.000    1.280    0.051 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\omnibot\tcp.py:76(set_speeds)
       73    0.001    0.000    1.279    0.018 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\omnibot\tcp.py:58(set_speed)
     1425    0.004    0.000    0.868    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\activation.py:392(forward)
     1425    0.004    0.000    0.864    0.001 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\functional.py:2051(silu)
     1425    0.859    0.001    0.859    0.001 {built-in method torch._C._nn.silu_}
      597    0.002    0.000    0.687    0.001 {method 'extend' of 'list' objects}
      450    0.001    0.000    0.685    0.002 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\modules\block.py:203(<genexpr>)
      250    0.018    0.000    0.682    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\modules\block.py:309(forward)
       25    0.003    0.000    0.601    0.024 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\modules\head.py:42(forward)
        1    0.000    0.000    0.559    0.559 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\utils\_contextlib.py:112(decorate_context)
        1    0.000    0.000    0.559    0.559 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\ultralytics\nn\autobackend.py:71(__init__)
   331/13    0.003    0.000    0.514    0.040 <frozen importlib._bootstrap>:1002(_find_and_load)
   328/10    0.001    0.000    0.513    0.051 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      150    0.002    0.000    0.506    0.003 C:\Users\aslan\OneDrive\Dokument\Maskinteknik år 5\Omnibot Project\venv_python_3.9.13\lib\site-packages\torch\nn\modules\container.py:213(forward)
   313/10    0.001    0.000    0.503    0.050 <frozen importlib._bootstrap>:659(_load_unlocked)
   270/10    0.001    0.000    0.501    0.050 <frozen importlib._bootstrap_external>:844(exec_module)
   417/10    0.000    0.000    0.499    0.050 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
   286/10    0.002    0.000    0.484    0.048 {built-in method builtins.exec}
